	weight	Alcohol	Heroin	Crack	Methylamphet	Cocaine	Tobacco	Amphetamine	Cannabis	GHB	Benzodiazepines	Ketamine	Methadone	Mephedrone	Butane	Khat	Anabolic Steroids	Ecstasy	LSD	Buprenorphine	Mushrooms
DRUG SPEC MORT	40	50	100	25	25	20	0	20	0	60	15	5	80	10	70	0	0	15	0	15	0
DRUG REL MORT	50	60	100	60	60	35	90	40	20	40	15	15	10	10	10	20	30	10	0	5	1
DRUG SPEC DAMAGE	32	80	20	50	50	30	100	30	20	30	5	30	10	20	1	40	30	20	0	5	0
DRUG REL DAMAGE	32	80	100	80	70	60	10	60	40	50	20	20	35	20	1	0	20	20	0	20	0
DEPENDENCE	45	30	80	100	75	50	95	40	30	20	50	30	40	40	10	20	20	20	0	30	0
SPEC IMPAIR MENT FUN	45	65	30	100	70	60	0	60	30	70	60	80	20	50	60	15	15	40	100	15	85
REL IMPAIR MENT FUNC	45	60	50	100	100	35	10	35	35	20	35	30	10	35	10	15	15	20	20	5	10
LOSS OF TANGIBLES	35	30	100	100	80	35	10	30	25	20	20	20	10	15	10	15	5	5	0	5	0
LOSS OF RELAT	35	60	80	100	90	60	10	55	30	30	15	25	10	30	15	40	30	15	0	5	0
INJURY	90	100	10	15	1	5	10	5	10	2	5	1	2	0	0	1	1	1	0	0	0
CRIME	80	50	100	80	5	10	10	15	20	5	10	10	10	5	0	0	5	0	0	10	0
ENVIRONM DAMAGE	30	100	10	5	5	1	10	5	10	1	0	1	1	0	1	1	5	0	0	0	0
FAMILY ADVERSITIES	70	100	20	10	2	10	2	5	15	2	5	3	5	1	5	2	1	1	1	1	0
INTERNATIONAL DAMAGE	30	20	90	100	1	100	35	5	15	0	5	5	0	5	0	1	5	5	1	0	0
ECONOMIC COST	100	100	30	15	1	10	40	10	20	2	3	1	5	0	1	2	1	1	0	1	0
COMMUNITY	25	100	25	25	1	5	1	5	10	1	5	1	5	1	5	3	1	1	1	1	1
[Scales]	784	1085	945	965	636	526	433	420	330	353	268	277	253	242	199	175	184	174	123	118	97
